# m x1 y1 x2 y2 lower upper expected relative_tolerance absolute_tolerance
2 0.2 1e-10 0.200001 1e-10 -0.5 0.5 12.73242676901770856497787 2e-8 1e-290
3 0.1 0.08 0.35 0.12 -0.45 0.6 0.5959301413490683837945689 2e-8 1e-290
3 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 5197978.666798036864254169 2e-8 1e-290
3 -0.2 1e-8 0.3 2e-8 -0.4 0.55 3.709622864562047620713525e-8 2e-8 1e-290
3 -0.2 1e-16 0.3 2e-16 -0.4 0.55 3.709622878464899865344005e-16 2e-8 1e-290
3 0.2 0.05 -2e-8 1e-8 0 1 0.05526766958999522784672611 2e-8 1e-290
3 0.2 0.05 -2e-12 1e-12 0 1 0.0552674406648776947000224 2e-8 1e-290
3 0.2 0.05 -2e-16 1e-16 0 1 0.05526744063165317141721565 2e-8 1e-290
3 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 1202634781.071587853060281 2e-8 1e-290
3 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 120506130787.6791870222775 2e-8 1e-290
3 1.1 1e-8 0.2 0.05 -0.4 0.55 3.63382666118197973577426e-9 2e-8 1e-290
3 -0.2 0.05 0.2 0.05 -0.5 0.5 0.1821355936952668284133596 2e-8 1e-290
3 0.2 0.05 -5e-17 1e-20 0 1 0.00002384027818620955268370753 2e-8 1e-290
3 0.2 0.05 -0.1 1e-200 0 1 3.73857674946616747369854e-200 2e-8 1e-290
3 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 4.47291139330944893808761e-69 2e-8 1e-290
3 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 4.472911393309448768601673e-169 2e-8 1e-290
3 -8.193e-197 1e-200 -9e-197 1e-200 0 1 5.330443724569496424423299e+186 2e-8 1e-290
3 0.2 1e-10 0.200001 1e-10 -0.5 0.5 62.37573510604965983016632 2e-8 1e-290
4 0.1 0.08 0.35 0.12 -0.45 0.6 0.1143699833211809834539073 2e-8 1e-290
4 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 1039595.78533939363801554 2e-8 1e-290
4 -0.2 1e-8 0.3 2e-8 -0.4 0.55 -1.346280170036837889747782e-9 2e-8 1e-290
4 -0.2 1e-16 0.3 2e-16 -0.4 0.55 -1.346280184344117692542031e-17 2e-8 1e-290
4 0.2 0.05 -2e-8 1e-8 0 1 3.14543253422813865309773e-8 2e-8 1e-290
4 0.2 0.05 -2e-12 1e-12 0 1 4.243318873860681075547107e-12 2e-8 1e-290
4 0.2 0.05 -2e-16 1e-16 0 1 5.341204271922575396795583e-16 2e-8 1e-290
4 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 601317390.5354757974972588 2e-8 1e-290
4 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 60253065393.83927492834842 2e-8 1e-290
4 1.1 1e-8 0.2 0.05 -0.4 0.55 7.87754377875663719142201e-10 2e-8 1e-290
4 -0.2 0.05 0.2 0.05 -0.5 0.5 0.0 2e-8 1e-290
4 0.2 0.05 -5e-17 1e-20 0 1 5.511085489183778494449169e-20 2e-8 1e-290
4 0.2 0.05 -0.1 1e-200 0 1 5.906988345873730278331516e-201 2e-8 1e-290
4 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 2.236455696654724717340266e-69 2e-8 1e-290
4 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 2.236455696654724632597298e-169 2e-8 1e-290
4 -8.193e-197 1e-200 -9e-197 1e-200 0 1 2.288127809324494217419141e-10 2e-8 1e-290
4 0.2 1e-10 0.200001 1e-10 -0.5 0.5 12.47517820907423696942839 2e-8 1e-290
5 0.1 0.08 0.35 0.12 -0.45 0.6 0.563523927243407114265387 2e-8 1e-290
5 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 4990059.499334198284628898 2e-8 1e-290
5 -0.2 1e-8 0.3 2e-8 -0.4 0.55 3.500508304622325713628235e-8 2e-8 1e-290
5 -0.2 1e-16 0.3 2e-16 -0.4 0.55 3.500508307600447145577268e-16 2e-8 1e-290
5 0.2 0.05 -2e-8 1e-8 0 1 0.05526766681857226631124553 2e-8 1e-290
5 0.2 0.05 -2e-12 1e-12 0 1 0.05526744066460055227530542 2e-8 1e-290
5 0.2 0.05 -2e-16 1e-16 0 1 0.05526744063165314370297318 2e-8 1e-290
5 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 901976085.8040090188280918 2e-8 1e-290
5 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 90379598090.75970884949851 2e-8 1e-290
5 1.1 1e-8 0.2 0.05 -0.4 0.55 3.418462178541918453509607e-9 2e-8 1e-290
5 -0.2 0.05 0.2 0.05 -0.5 0.5 0.1755269273425752308855549 2e-8 1e-290
5 0.2 0.05 -5e-17 1e-20 0 1 0.00002384027818620954991228328 2e-8 1e-290
5 0.2 0.05 -0.1 1e-200 0 1 3.616959859144070868903222e-200 2e-8 1e-290
5 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 3.354683544982086455269247e-69 2e-8 1e-290
5 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 3.354683544982086328154794e-169 2e-8 1e-290
5 -8.193e-197 1e-200 -9e-197 1e-200 0 1 5.330443724569496424423299e+186 2e-8 1e-290
5 0.2 1e-10 0.200001 1e-10 -0.5 0.5 59.88069322663076357067791 2e-8 1e-290
6 0.1 0.08 0.35 0.12 -0.45 0.6 0.1041120202007605564113822 2e-8 1e-290
6 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 998011.9497674334318881334 2e-8 1e-290
6 -0.2 1e-8 0.3 2e-8 -0.4 0.55 -1.474617916526796176890863e-9 2e-8 1e-290
6 -0.2 1e-16 0.3 2e-16 -0.4 0.55 -1.47461794414792327035328e-17 2e-8 1e-290
6 0.2 0.05 -2e-8 1e-8 0 1 3.085265260183701651818947e-8 2e-8 1e-290
6 0.2 0.05 -2e-12 1e-12 0 1 4.183151588731659227578044e-12 2e-8 1e-290
6 0.2 0.05 -2e-16 1e-16 0 1 5.281036986792445090032064e-16 2e-8 1e-290
6 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 450988042.9017659126393843 2e-8 1e-290
6 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 45189799045.37961548765649 2e-8 1e-290
6 1.1 1e-8 0.2 0.05 -0.4 0.55 7.231461559284879786264702e-10 2e-8 1e-290
6 -0.2 0.05 0.2 0.05 -0.5 0.5 0.0 2e-8 1e-290
6 0.2 0.05 -5e-17 1e-20 0 1 5.450918204053648106585272e-20 2e-8 1e-290
6 0.2 0.05 -0.1 1e-200 0 1 5.607619158675356632754328e-201 2e-8 1e-290
6 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 1.677341772491043413856969e-69 2e-8 1e-290
6 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 1.677341772491043350299743e-169 2e-8 1e-290
6 -8.193e-197 1e-200 -9e-197 1e-200 0 1 2.288127809324494217419141e-10 2e-8 1e-290
6 0.2 1e-10 0.200001 1e-10 -0.5 0.5 11.9761685856634103402385 2e-8 1e-290
7 0.1 0.08 0.35 0.12 -0.45 0.6 0.5521105891994256886393929 2e-8 1e-290
7 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 4897284.282611547549367188 2e-8 1e-290
7 -0.2 1e-8 0.3 2e-8 -0.4 0.55 3.414195539786575532969626e-8 2e-8 1e-290
7 -0.2 1e-16 0.3 2e-16 -0.4 0.55 3.414195536929944797185179e-16 2e-8 1e-290
7 0.2 0.05 -2e-8 1e-8 0 1 0.05526766564077033541300762 2e-8 1e-290
7 0.2 0.05 -2e-12 1e-12 0 1 0.05526744066448277202109215 2e-8 1e-290
7 0.2 0.05 -2e-16 1e-16 0 1 0.05526744063165313192494776 2e-8 1e-290
7 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 842278833.8187463686029748 2e-8 1e-290
7 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 84397827923.60339416948369 2e-8 1e-290
7 1.1 1e-8 0.2 0.05 -0.4 0.55 3.339668502202231568503801e-9 2e-8 1e-290
7 -0.2 0.05 0.2 0.05 -0.5 0.5 0.1727574204702336694140441 2e-8 1e-290
7 0.2 0.05 -5e-17 1e-20 0 1 0.00002384027818620954873448074 2e-8 1e-290
7 0.2 0.05 -0.1 1e-200 0 1 3.567558313010696411343663e-200 2e-8 1e-290
7 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 3.132653945675031650673301e-69 2e-8 1e-290
7 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 3.132653945675031531971914e-169 2e-8 1e-290
7 -8.193e-197 1e-200 -9e-197 1e-200 0 1 5.330443724569496424423299e+186 2e-8 1e-290
7 0.2 1e-10 0.200001 1e-10 -0.5 0.5 58.76738597271826490375899 2e-8 1e-290
8 0.1 0.08 0.35 0.12 -0.45 0.6 0.1008285072765262987991582 2e-8 1e-290
8 0.2 1e-8 0.20000003 2e-8 -0.4 0.55 979456.9054951507974515242 2e-8 1e-290
8 -0.2 1e-8 0.3 2e-8 -0.4 0.55 -1.510895719166694660878411e-9 2e-8 1e-290
8 -0.2 1e-16 0.3 2e-16 -0.4 0.55 -1.510895755319234209273994e-17 2e-8 1e-290
8 0.2 0.05 -2e-8 1e-8 0 1 3.062107079189099416420142e-8 2e-8 1e-290
8 0.2 0.05 -2e-12 1e-12 0 1 4.159993403026319643677685e-12 2e-8 1e-290
8 0.2 0.05 -2e-16 1e-16 0 1 5.257878801086634432245212e-16 2e-8 1e-290
8 0.5000000000002 1e-13 0.5000000000015 1e-13 -0.5 0.5 421139416.9091503790450312 2e-8 1e-290
8 0.500000000000002 1e-15 0.500000000000015 1e-15 -0.5 0.5 42198913961.80147396169122 2e-8 1e-290
8 1.1 1e-8 0.2 0.05 -0.4 0.55 7.0171102391890847218313e-10 2e-8 1e-290
8 -0.2 0.05 0.2 0.05 -0.5 0.5 0.0 2e-8 1e-290
8 0.2 0.05 -5e-17 1e-20 0 1 5.427760018347837414250437e-20 2e-8 1e-290
8 0.2 0.05 -0.1 1e-200 0 1 5.500487951677905831542158e-201 2e-8 1e-290
8 0.5 1e-100 0.5000000000000001 1e-100 0.49999999999999994 0.5000000000000002 1.566326972837515999233877e-69 2e-8 1e-290
8 0.5 1e-200 0.5000000000000001 1e-200 0.49999999999999994 0.5000000000000002 1.566326972837515939883184e-169 2e-8 1e-290
8 -8.193e-197 1e-200 -9e-197 1e-200 0 1 2.288127809324494217419141e-10 2e-8 1e-290
8 0.2 1e-10 0.200001 1e-10 -0.5 0.5 11.75350657822488651467291 2e-8 1e-290
